#,Project,Linear Model,Number of PRs ,R squared,R squared - optimism,R squared - corrected
53,andypetrella/spark-notebook,CI,143,"0,6831","0,1149","0,5682"
54,andypetrella/spark-notebook,NO-CI,150,"0,7778","0,1122","0,6657"
55,apache/incubator-airflow,CI,390,"0,3096","0,0550","0,2546"
56,apache/incubator-airflow,NO-CI,220,"0,3389","0,3020","0,0369"
57,ReactiveX/RxJava,CI,662,"0,4546","0,0684","0,3862"
58,ReactiveX/RxJava,NO-CI,736,"0,0486","0,0789","-0,0302"
59,driftyco/ng-cordova,CI,175,"0,2162","0,0697","0,1464"
60,driftyco/ng-cordova,NO-CI,115,"0,1438","0,3902","-0,2464"
61,haraka/Haraka,CI,600,"0,4389","0,0350","0,4039"
62,haraka/Haraka,NO-CI,328,"0,2083","0,0778","0,1306"
63,isagalaev/highlight.js,CI,158,"0,1008","0,0766","0,0241"
64,isagalaev/highlight.js,NO-CI,105,"0,2026","0,6934","-0,4908"
65,bundler/bundler,CI,410,"0,1531","0,0618","0,0914"
66,bundler/bundler,NO-CI,193,"0,0465","0,1340","-0,0875"
67,humhub/humhub,CI,138,"0,1843","0,1615","0,0228"
68,humhub/humhub,NO-CI,114,"0,2804","0,1028","0,1776"
69,square/picasso,CI,115,"0,2825","0,1735","0,1089"
70,square/picasso,NO-CI,110,"0,2587","0,1252","0,1335"
71,Netflix/Hystrix,CI,438,"0,2692","0,0414","0,2278"
72,Netflix/Hystrix,NO-CI,146,"0,4945","0,1647","0,3297"
73,dropwizard/metrics,CI,102,"0,5335","0,0655","0,4679"
74,dropwizard/metrics,NO-CI,121,"0,4338","0,1342","0,2996"
75,refinery/refinerycms,CI,427,"0,1821","2,1020","-1,9198"
76,refinery/refinerycms,NO-CI,497,"0,2794","0,0627","0,2167"
77,gollum/gollum,CI,104,"0,3593","22,2019","-21,8426"
78,gollum/gollum,NO-CI,116,"0,2382","0,4686","-0,2304"
79,jhipster/generator-jhipster,CI,1243,"0,0995","0,0378","0,0618"
80,jhipster/generator-jhipster,NO-CI,107,"0,0482","1,0958","-1,0476"
81,request/request,CI,395,"0,1470","0,0584","0,0886"
82,request/request,NO-CI,151,"0,4521","0,1819","0,2702"
83,alohaeditor/Aloha-Editor,CI,198,"0,3188","1,1842","-0,8654"
84,alohaeditor/Aloha-Editor,NO-CI,270,"0,4025","0,0971","0,3054"
85,boto/boto,CI,715,"0,1975","0,0468","0,1507"
86,boto/boto,NO-CI,205,"0,2118","0,1617","0,0501"
87,grails/grails-core,CI,165,"0,1328","0,1109","0,0219"
88,grails/grails-core,NO-CI,298,"0,2449","0,1068","0,1381"
89,Pylons/pyramid,CI,1198,"0,2413","0,0334","0,2079"
90,Pylons/pyramid,NO-CI,138,"0,5273","0,3100","0,2173"
91,mantl/mantl,CI,147,"0,2581","0,1164","0,1418"
92,mantl/mantl,NO-CI,313,"0,1020","0,0668","0,0353"
93,ether/etherpad-lite,CI,602,"0,1339","0,0548","0,0791"
94,ether/etherpad-lite,NO-CI,317,"0,3612","0,0423","0,3189"
95,jashkenas/underscore,CI,331,"0,1890","0,1616","0,0274"
96,jashkenas/underscore,NO-CI,118,"0,1282","0,2652","-0,1371"
97,apereo/cas,CI,673,"0,3419","0,0270","0,3150"
98,apereo/cas,NO-CI,227,"0,1592","0,1116","0,0476"
99,kivy/kivy,CI,1135,"0,3929","0,0288","0,3642"
100,kivy/kivy,NO-CI,157,"0,1202","0,0896","0,0306"
101,elastic/logstash,CI,446,"0,3467","0,0861","0,2606"
102,elastic/logstash,NO-CI,458,"0,0723","0,0482","0,0241"
103,getsentry/sentry,CI,1051,"0,1796","0,0360","0,1436"
104,getsentry/sentry,NO-CI,121,"0,0212","0,0894","-0,0683"
105,hapijs/hapi,CI,469,"0,0457","0,0535","-0,0078"
106,hapijs/hapi,NO-CI,400,"0,1528","0,0592","0,0936"
107,HabitRPG/habitica,CI,983,"0,6568","0,0734","0,5834"
108,HabitRPG/habitica,NO-CI,177,"0,4227","0,0683","0,3544"
109,pyrocms/pyrocms,CI,446,"0,1027","0,2689","-0,1663"
110,pyrocms/pyrocms,NO-CI,278,"0,1322","0,2339","-0,1017"
111,BabylonJS/Babylon.js,CI,566,"0,2579","0,0465","0,2115"
112,BabylonJS/Babylon.js,NO-CI,259,"0,0332","0,1253","-0,0921"
113,Leaflet/Leaflet,CI,874,"0,2593","0,0377","0,2216"
114,Leaflet/Leaflet,NO-CI,290,"0,2087","0,7168","-0,5081"
115,laravel/laravel,CI,498,"0,1305","0,0291","0,1013"
116,laravel/laravel,NO-CI,300,"0,3735","0,0984","0,2751"
117,zurb/foundation-sites,CI,1163,"0,0641","0,0696","-0,0055"
118,zurb/foundation-sites,NO-CI,479,"0,0312","0,0345","-0,0032"
119,callemall/material-ui,CI,1323,"0,1857","0,0185","0,1672"
120,callemall/material-ui,NO-CI,350,"0,0622","0,1398","-0,0775"
121,loomio/loomio,CI,1420,"0,5177","0,0096","0,5081"
122,loomio/loomio,NO-CI,366,"0,4126","0,0698","0,3428"
123,scikit-learn/scikit-learn,CI,1489,"0,0740","0,0451","0,0289"
124,scikit-learn/scikit-learn,NO-CI,323,"0,2829","0,0993","0,1835"
125,frappe/erpnext,CI,1791,"0,1558","0,0180","0,1378"
126,frappe/erpnext,NO-CI,232,"0,7575","0,0293","0,7282"
